+-----------+--------------------+----------+
| startYear | avg(averageRating) | count(*) |
+-----------+--------------------+----------+
|      1911 |            7.10000 |        1 |
|      1913 |            6.80000 |        3 |
|      1914 |            6.95000 |        4 |
|      1915 |            6.73333 |        3 |
|      1916 |            7.45000 |        2 |
|      1917 |            7.10000 |        2 |
|      1918 |            7.10000 |        5 |
|      1919 |            7.38000 |       10 |
|      1920 |            7.24444 |        9 |
|      1921 |            7.63333 |        9 |
|      1922 |            7.45455 |       11 |
|      1923 |            7.38000 |       10 |
|      1924 |            7.60667 |       15 |
|      1925 |            7.40556 |       18 |
|      1926 |            7.70000 |       15 |
|      1927 |            7.44348 |       23 |
|      1928 |            7.57037 |       27 |
|      1929 |            7.40870 |       23 |
|      1930 |            7.20000 |       22 |
|      1931 |            7.31837 |       49 |
|      1932 |            7.23673 |       49 |
|      1933 |            7.18077 |       52 |
|      1934 |            7.15581 |       43 |
|      1935 |            7.22222 |       54 |
|      1936 |            7.09706 |       68 |
|      1937 |            7.40577 |       52 |
|      1938 |            7.26250 |       48 |
|      1939 |            7.26027 |       73 |
|      1940 |            7.08125 |       80 |
|      1941 |            7.11842 |       76 |
|      1942 |            7.09730 |       74 |
|      1943 |            7.00870 |       69 |
|      1944 |            7.09855 |       69 |
|      1945 |            7.14211 |       76 |
|      1946 |            7.11579 |       76 |
|      1947 |            7.07215 |       79 |
|      1948 |            7.29367 |       79 |
|      1949 |            7.16977 |       86 |
|      1950 |            7.21059 |       85 |
|      1951 |            7.13596 |       89 |
|      1952 |            7.03488 |       86 |
|      1953 |            6.93267 |      101 |
|      1954 |            6.94444 |       90 |
|      1955 |            6.99492 |      118 |
|      1956 |            6.79217 |      115 |
|      1957 |            6.78850 |      113 |
|      1958 |            6.74508 |      122 |
|      1959 |            6.77355 |      121 |
|      1960 |            6.94083 |      120 |
|      1961 |            6.84951 |      103 |
|      1962 |            7.11864 |      118 |
|      1963 |            6.95736 |      129 |
|      1964 |            6.92308 |      156 |
|      1965 |            6.75417 |      144 |
|      1966 |            6.72961 |      152 |
|      1967 |            6.78954 |      153 |
|      1968 |            6.74359 |      156 |
|      1969 |            6.85578 |      147 |
|      1970 |            6.84233 |      163 |
|      1971 |            6.76651 |      209 |
|      1972 |            6.72888 |      187 |
|      1973 |            6.82303 |      178 |
|      1974 |            6.77143 |      168 |
|      1975 |            6.77215 |      158 |
|      1976 |            6.77778 |      171 |
|      1977 |            6.60617 |      162 |
|      1978 |            6.65060 |      166 |
|      1979 |            6.65864 |      162 |
|      1980 |            6.40531 |      207 |
|      1981 |            6.50227 |      220 |
|      1982 |            6.49904 |      208 |
|      1983 |            6.44737 |      209 |
|      1984 |            6.43886 |      229 |
|      1985 |            6.48031 |      254 |
|      1986 |            6.38024 |      253 |
|      1987 |            6.34948 |      289 |
|      1988 |            6.37452 |      310 |
|      1989 |            6.38403 |      288 |
|      1990 |            6.28074 |      270 |
|      1991 |            6.43700 |      300 |
|      1992 |            6.52326 |      301 |
|      1993 |            6.41994 |      336 |
|      1994 |            6.28378 |      333 |
|      1995 |            6.45479 |      365 |
|      1996 |            6.35759 |      382 |
|      1997 |            6.46903 |      423 |
|      1998 |            6.45908 |      435 |
|      1999 |            6.43519 |      466 |
|      2000 |            6.35504 |      516 |
|      2001 |            6.40455 |      550 |
|      2002 |            6.35764 |      602 |
|      2003 |            6.40503 |      597 |
|      2004 |            6.37726 |      708 |
|      2005 |            6.28485 |      746 |
|      2006 |            6.28144 |      862 |
|      2007 |            6.32341 |      863 |
|      2008 |            6.28384 |      860 |
|      2009 |            6.17913 |      944 |
|      2010 |            6.30359 |      918 |
|      2011 |            6.20944 |      975 |
|      2012 |            6.18312 |     1031 |
|      2013 |            6.23703 |     1091 |
|      2014 |            6.22814 |     1162 |
|      2015 |            6.23556 |     1108 |
|      2016 |            6.24638 |     1078 |
|      2017 |            6.25465 |     1010 |
|      2018 |            6.40779 |      680 |
|      2019 |            6.53684 |       19 |
+-----------+--------------------+----------+
