+-----------+-----------------------+
| startYear | avg(b.runtimeMinutes) |
+-----------+-----------------------+
|      1990 |              114.3939 |
|      1991 |              120.1111 |
|      1992 |              113.5922 |
|      1993 |              119.8246 |
|      1994 |              117.5600 |
|      1995 |              114.7768 |
|      1996 |              114.5096 |
|      1997 |              112.7941 |
|      1998 |              111.6148 |
|      1999 |              114.5105 |
|      2000 |              113.6090 |
|      2001 |              118.5432 |
|      2002 |              110.6554 |
|      2003 |              114.9474 |
|      2004 |              114.9153 |
|      2005 |              112.8406 |
|      2006 |              111.4793 |
|      2007 |              113.6220 |
|      2008 |              113.1767 |
|      2009 |              110.8112 |
|      2010 |              112.3154 |
|      2011 |              110.9449 |
|      2012 |              113.5664 |
|      2013 |              113.8112 |
|      2014 |              113.2102 |
|      2015 |              115.4710 |
|      2016 |              116.9516 |
|      2017 |              117.3607 |
|      2018 |              120.9065 |
|      2019 |              134.2857 |
+-----------+-----------------------+
