+---------------+-----------------------+----------+
| averageRating | avg(b.runtimeMinutes) | count(*) |
+---------------+-----------------------+----------+
|           1.0 |               87.5385 |       26 |
|           1.1 |               94.0000 |       13 |
|           1.2 |               92.8571 |       14 |
|           1.3 |               89.3846 |       13 |
|           1.4 |               91.0625 |       16 |
|           1.5 |               92.1667 |       24 |
|           1.6 |               84.0000 |       18 |
|           1.7 |               89.3889 |       36 |
|           1.8 |              100.2692 |       26 |
|           1.9 |               93.6842 |       38 |
|           2.0 |               89.4878 |       41 |
|           2.1 |               95.7778 |       36 |
|           2.2 |               92.8533 |       75 |
|           2.3 |               93.2295 |       61 |
|           2.4 |               91.3200 |       75 |
|           2.5 |               90.9070 |       86 |
|           2.6 |               94.8947 |       95 |
|           2.7 |               92.7710 |      131 |
|           2.8 |               95.6320 |      125 |
|           2.9 |               95.0000 |      138 |
|           3.0 |               92.4676 |      139 |
|           3.1 |               92.2740 |      146 |
|           3.2 |               93.9626 |      187 |
|           3.3 |               94.8550 |      200 |
|           3.4 |               94.1872 |      219 |
|           3.5 |               93.4735 |      264 |
|           3.6 |               94.6444 |      284 |
|           3.7 |               94.9077 |      260 |
|           3.8 |               95.3962 |      318 |
|           3.9 |               93.7164 |      268 |
|           4.0 |               93.7426 |      303 |
|           4.1 |               93.6853 |      340 |
|           4.2 |               94.9849 |      397 |
|           4.3 |               95.2757 |      428 |
|           4.4 |               95.9556 |      428 |
|           4.5 |               94.5295 |      440 |
|           4.6 |               95.6996 |      556 |
|           4.7 |               95.7841 |      528 |
|           4.8 |               96.6365 |      597 |
|           4.9 |               96.6206 |      535 |
|           5.0 |               97.2624 |      587 |
|           5.1 |               96.3876 |      694 |
|           5.2 |               97.6855 |      760 |
|           5.3 |               98.9764 |      806 |
|           5.4 |               98.4766 |      856 |
|           5.5 |               98.1145 |      882 |
|           5.6 |               98.2124 |     1017 |
|           5.7 |               98.9511 |     1083 |
|           5.8 |               99.8324 |     1068 |
|           5.9 |               99.7160 |     1007 |
|           6.0 |              100.0930 |     1065 |
|           6.1 |              100.1897 |     1207 |
|           6.2 |              101.2304 |     1324 |
|           6.3 |              100.9270 |     1328 |
|           6.4 |              102.7842 |     1358 |
|           6.5 |              101.6393 |     1292 |
|           6.6 |              102.9898 |     1278 |
|           6.7 |              102.1123 |     1247 |
|           6.8 |              102.1232 |     1201 |
|           6.9 |              103.0524 |     1050 |
|           7.0 |              103.8285 |     1073 |
|           7.1 |              104.6888 |     1250 |
|           7.2 |              105.8240 |     1057 |
|           7.3 |              105.6342 |      842 |
|           7.4 |              105.8973 |      740 |
|           7.5 |              106.1879 |      644 |
|           7.6 |              105.4860 |      572 |
|           7.7 |              105.7884 |      449 |
|           7.8 |              109.9453 |      384 |
|           7.9 |              108.7191 |      299 |
|           8.0 |              111.1496 |      274 |
|           8.1 |              113.6908 |      207 |
|           8.2 |              113.1311 |      183 |
|           8.3 |              112.0500 |      140 |
|           8.4 |              110.4095 |      105 |
|           8.5 |              117.7826 |       69 |
|           8.6 |              113.1429 |       56 |
|           8.7 |              114.8261 |       46 |
|           8.8 |              172.0000 |       33 |
|           8.9 |              127.7308 |       26 |
|           9.0 |              148.2000 |       20 |
|           9.1 |              103.4286 |       14 |
|           9.2 |              146.6667 |       12 |
|           9.3 |              110.2222 |        9 |
|           9.4 |               90.2500 |        4 |
|           9.5 |               96.3333 |        3 |
|           9.6 |              117.0000 |        3 |
|           9.7 |               46.0000 |        1 |
|           9.9 |              128.0000 |        2 |
|          10.0 |              138.0000 |        1 |
+---------------+-----------------------+----------+
